word, sentences,english_meaning
stolz,Ich bin stolz auf dich. Das hast du sehr gut gemacht.,proud
"stoppen, stoppt, stoppte, hat gestoppt","Die Polizei hat mich gestoppt, weil ich bei Rot über die Ampel gefahren bin.",stop
"stören, stört, störte, hat gestört","1. Darf ich Sie einen Augenblick stören?
2. Du kannst das Radio anlassen. Das stört mich nicht.",disturb
"die Störung, -en",Entschuldigen Sie bitte die Störung.,the disorder
"(sich) stoßen, stößt, stieß, hat gestoßen",Wie haben Sie sich denn verletzt? – Ich habe mich an der Autotür gestoßen.,to bump into (oneself).
"die Strafe, -n",Schwarzfahren kostet 60 Euro Strafe.,the punishment
strafbar,"Was du da machst, ist strafbar.",punishable
"der Strafzettel, -",So ein Pech! Ich habe einmal falsch geparkt und sofort einen Strafzettel bekommen.,the traffic ticket
"der Strand, ¨-e",Im Urlaub bin ich am liebsten am Strand.,the beach
"die Straße, -n","1. Wir wohnen in einer sehr kleinen Straße.
2. Unser Haus ist eine Straße weiter.",the street
"die Straßenbahn, -en (D, A)
→ CH: Tram",Fahren wir mit der Straßenbahn oder der U-Bahn?,the tram
"die Strecke, -n","1. Sind Sie die ganze Strecke zu Fuß gegangen?
2. Auf der Strecke München – Salzburg: 8 km Stau.
3. Ich möchte nach Hamburg fahren. Können Sie mir sagen, welche Strecke am besten ist?",the route
"das Streichholz, ¨-er
→ Zündholz; A: Zünder",Ich hätte gern eine Schachtel Streichhölzer.,the match
"streiken, streikt, streikte, hat gestreikt",Die Arbeiter streiken für höhere Löhne.,strike
"der Streik, -s",Es gab einen Streik am Flughafen. Deshalb hatte unsere Maschine Verspätung.,the strike
"(sich) streiten, streitet, stritt, hat gestritten",Die Kinder streiten sich oft.,(argue
der Streit,Ich möchte keinen Streit mit den Nachbarn.,the dispute
streng,Unsere Tochter hat einen sehr strengen Lehrer.,strictly
der Stress,Ich habe bei der Arbeit viel Stress.,the stress
der Strom,Wie kann ich im Haushalt Strom sparen?,the stream
"der Strumpf, ¨-e",Wo sind meine roten Strümpfe?,the stocking
"das Stück/-stück, -e","1. Ich nehme zwei Stück Zucker in den Kaffee.
2. Möchten Sie noch ein Stück Kuchen?
3. Was kosten die Kulis? – Ein Euro pro Stück.
4. Ich begleite dich ein Stück.
5. Er spielt in dem Stück die Hauptrolle.",the piece/piece
"die Studie, -n","1. Wir führen eine Studie über Arbeitslosigkeit durch.
2. Eine aktuelle Studie zeigt, dass die Umweltverschmutzung zunimmt.",the study
"studieren, studiert, studierte, hat studiert","1. Mein Sohn will Medizin studieren.
2. Ich studiere in Mainz.",study
"der Student, -en
die Studentin, -nen",Schüler und Studenten zahlen die Hälfte.,the student
"der Studierende, -n
die Studierende, -n",Zehn Studierende besuchen das Seminar.,the student
"das Studium, Studien",Sie brauchen für diese Stelle ein abgeschlossenes Studium.,the study
"das Studio, -s",Zu Gast im Studio sind heute ...,the studio
"die Stufe, -n","1. Vorsicht, Stufe!
2. Die Volkshochschule bietet Sprachkurse auf verschiedenen Stufen an.",the stage
"der Stuhl, ¨-e",Da hinten ist noch ein Stuhl frei.,the chair
stumm,Stell bitte dein Handy leise oder auf stumm.,mute
"die Stunde, -n","1. Ich bin in einer Stunde wieder zurück.
2. Wir haben heute nur vier Stunden Schule.
3. Ich warte seit zwei Stunden auf dich.",the hour
"der Sturm, ¨-e",Im Radio haben sie Regen und Sturm angesagt.,the storm
"stürzen, stürzt, stürzte, ist gestürzt","1. Ich bin auf der Straße gestürzt und habe mir den Fuß gebrochen.
2. Bitte pass auf der Treppe auf, dass du nicht hinunterstürzt!",fall
"suchen, sucht, suchte, hat gesucht","1. Ich suche meine Brille.
2. Wir suchen eine größere Wohnung.
3. Wen suchen Sie?",seek
"die Sucht, ¨-e","1. Die Sucht nach Medikamenten nimmt zu.
2. Er kämpft gegen seine Alkoholsucht.
3. Das Internet kann zur Sucht werden.",the addiction
süchtig,"1. Ich bin süchtig nach Schokolade.
2. Fernsehen kann süchtig machen.",addicted
"das Suchtmittel, -",Manche Medikamente sind auch Suchtmittel.,the addictive substance
"die Summe, -n",Die Summe scheint mir zu hoch!,the sum
super,"1. Das war ein super Film!
2. Er kann super tanzen.
3. Weißt du was? Ich komme mit. – Super!",super
"der Supermarkt, ¨-e",Donnerstags gehe ich immer in den Supermarkt.,the supermarket
"die Suppe, -n",Schmeckt dir die Suppe?,the soup
süß,"1. Ich esse gern süße Sachen.
2. Das ist aber ein süßes Baby!",sweet
"das Symbol, -e","1. Das Herz ist ein Symbol für die Liebe.
2. Auf dem Bildschirm finden Sie viele Symbole.",the symbol
sympathisch,Ich finde unsere neue Kollegin sehr sympathisch.,friendly
"das System, -e","1. Welches Betriebssystem hast du?
2. Ich kenne Ihr System nicht. Können Sie es mir erklären?",the system
"die Szene, -n","1. In dieser Szene des Films stirbt der Held.
2. Ich kenne mich in der Szene nicht aus. Ich bin zu alt.
3. Bitte mach keine Szene!",the scene
"die Tabelle, -n",Tragen Sie die richtige Information in die Tabelle ein.,the table
"die Tablette, -n",Nehmen Sie dreimal täglich eine Tablette.,the tablet
"die Tafel, -n","1. Der Lehrer schreibt das neue Wort an die Tafel.
2. Sie finden am Eingang eine Tafel mit Informationen.
3. Ich hätte gern zwei Tafeln Schokolade.",the whiteboard
"der Tagesablauf, ¨-e",Wie ist Ihr Tagesablauf?,the daily routine
"das Tal, ¨-er",Unser Dorf liegt in einem Tal.,the valley
"das Talent, -e",Sie hat großes Talent für Musik.,the talent
"tanken, tankt, tankte, hat getankt","1. Wir müssen unbedingt tanken. Wir haben fast kein Benzin mehr.
2. Bitte einmal volltanken!",refuel
"die Tankstelle, -n",Wo ist die nächste Tankstelle?,the gas station
"die Tante, -n","Die Familie meiner Mutter ist sehr groß, daher habe ich viele Tanten.",the aunt
"tanzen, tanzt, tanzte, hat getanzt",Auf der Hochzeit haben wir viel getanzt.,dance
"der Tanz, ¨-e",Diese modernen Tänze kann ich nicht.,the dance
"die Tasche, -n","1. Ich habe nicht viel Gepäck, nur eine Tasche.
2. Meine Jacke hat keine Taschen.",the bag
"das Taschengeld, -er",Wie viel Taschengeld bekommst du im Monat?,the pocket money
"das Taschentuch, ¨-er",Hast du ein Taschentuch für mich?,the handkerchief
"die Tasse, -n","1. Die Tassen sind von meiner Großmutter.
2. Möchten Sie eine Tasse Kaffee?",the cup
"die Tastatur, -en",Die Tastatur an meinem Computer ist ganz neu.,the keyboard
"die Taste, -n","1. An der Fernbedienung ist eine Taste kaputt.
2. Du musst jetzt die Stopp-Taste drücken.",the button
"die Tat, -en",Dieser Mensch hat mit vielen guten Taten geholfen.,the act
"der Täter, -
die Täterin, -nen",Die Polizei hat den Täter endlich gefasst.,the perpetrator
"die Tätigkeit, -en",Welche Tätigkeit würde Ihnen Spaß machen?,the activity
"die Tatsache, -n",Das widerspricht den Tatsachen.,the fact
tatsächlich,"Die Hose ist tatsächlich zu klein, obwohl sie so groß aussieht.",actually
taub,"1. Sie hört schlecht, sie ist schon fast taub.
2. Bist du taub? Ich spreche mit dir!",deaf
"tauchen, taucht, tauchte, ist/hat getaucht",Ich möchte im Urlaub wieder tauchen gehen.,dive
"tauschen, tauscht, tauschte, hat getauscht","1. Ich würde meinen Kuchen gegen dein Brot tauschen.
2. Wollen wir die Plätze tauschen?",to exchange
"die Technik, -en","1. Ich verstehe nicht viel von Technik.
2. Um die Aufgaben zu lösen, brauchst du eine gute Arbeitstechnik.",the technology
technisch,"1. Es gab ein technisches Problem.
2. Sind Sie technisch interessiert?",technically
"die Technologie, -n",Große Fortschritte gab es in der Technologie.,the technology
der Tee,"1. Bitte einen Tee mit Zitrone.
2. Was kostet dieser Tee hier?",the tea
Tee ziehen lassen,Diesen Tee sollte man 10 Minuten ziehen lassen.,Let the tea steep
"teilen, teilt, teilte, hat geteilt","1. Mein Mann und ich teilen uns die Arbeit.
2. Wollen wir uns eine Pizza teilen?
3. Was machst du mit dem Gewinn? – Ich teile ihn mit meiner Familie.",split
"das Teil, -e",Dieses Teil müssen wir erst bestellen.,the part
"der Teil, -e","1. Was steht in dem Brief? Ich habe den ersten Teil nicht verstanden
2. Der Film hat zwei Teile. Heute kommt Teil 1.
3. Gefällt dir der neue Job? – Nur zum Teil.",the part
die Teilzeit,Ich arbeite im Moment nur Teilzeit.,the part time
"teilnehmen, nimmt teil, nahm teil, hat teilgenommen",Leider konnte ich an dem Kurs nicht regelmäßig teilnehmen.,participate
"die Teilnahme, -n",Die Teilnahme am Gewinnspiel ist kostenlos.,the participation
"der Teilnehmer, -
die Teilnehmerin, -nen",Die Teilnehmerinnen aus unserem Kurs kommen aus verschiedenen Ländern.,the participant
"telefonieren, telefoniert, telefonierte, hat telefoniert","1. Ich muss kurz telefonieren.
2. Mein Mann telefoniert gerade. Können Sie später noch einmal anrufen?",make a phone call
"das Telefon, -e",1. Darf ich bitte Ihr Telefon benutzen?,the phone
"der Teller, -","1. Stell bitte schon mal die Teller auf den Tisch!
2. Willst du noch einen Teller Suppe?",the dish
"die Temperatur, -en",Die Temperaturen steigen heute um 10 Grad.,the temperature
das Tempo,"1. Hier darfst du nur Tempo 30 fahren.
2. Achtung, hier ist eine Tempo-30-Zone!",the pace
das Tennis,Ich spiele gern Tennis.,the tennis
"der Teppich, -e","1. Ich habe mir einen neuen Teppich gekauft.
2. Habt ihr in eurer neuen Wohnung Teppich oder einen Holzfußboden?",the carpet
"der Termin, -e",Als Termin schlage ich den 3. Mai vor.,the appointment
"der Terminkalender, -",Hast du unser Treffen schon in deinen Terminkalender eingetragen?,the appointment calendar
"die Terrasse, -n",Setzen wir uns auf die Terrasse!,the terrace
"testen, testet, testete, hat getestet",Testen Sie unsere Angebote kostenlos.,test
"der Test, -s",Ich bin ganz sicher: Du wirst den Test schaffen.,the test
teuer,Ich finde das Geschäft nicht teuer.,expensive
"der Text, -e",Lesen Sie den Text.,the text
"das Theater, -",Wir gehen nächste Woche ins Theater.,the theater
"das Thema, Themen",Wir haben im Kurs viel über das Thema Umwelt gesprochen.,the topic
theoretisch,Ich habe die theoretische Prüfung bestanden. Nach der praktischen habe ich den Führerschein.,theoretically
"die Theorie, -n",Das ist die Theorie. In der Praxis ist vieles ganz anders.,the theory
"die Therapie, -n",Die Therapie hat geholfen. Es geht mir schon viel besser.,the therapy
"das Ticket, -s","1. Wir müssen die Tickets für unseren Flug ausdrucken.
2. Ich kaufe heute Tickets für das Konzert.",the ticket
tief,"1. Vorsicht, Kinder! Das Wasser ist hier sehr tief.
2. Der Schrank ist drei Meter breit und 60 Zentimeter tief.
3. Bitte jetzt tief einatmen!",deep
"das Tier, -e",Er mag Tiere sehr und geht darum oft in den Zoo.,the animal
"das Haustier, -e","Hat deine Familie ein Haustier? − Ja, wir haben einen Hund.",the pet
"der Tierpark, -s",Wollen wir am Samstag mit den Kindern in den Tierpark gehen?,the zoo
"der Tipp, -s",Kannst du mir einen Tipp geben? Wo finde ich billige Möbel?,the tip
"tippen, tippt, tippte, hat getippt",Wie schnell kannst du tippen?,tap
"der Tisch, -e",Das Essen steht schon auf dem Tisch.,the table
"der Titel, -","1. Wie heißt der Film? – Ich weiß den Titel nicht mehr.
2. Haben Sie einen Titel? – Ja, Doktor.",the title
"die Tochter, ¨-",Das ist meine Tochter Katharina.,the daughter
der Tod,Ich habe ihn vor seinem Tod noch einmal gesehen.,the death
tödlich,Dieses Gift kann für den Menschen tödlich sein.,fatal
"die Toilette, -n","Wo ist die Toilette, bitte?",the toilet
tolerant,Die Nachbarn hören oft laut Musik. Wir müssen sehr tolerant sein.,tolerant
toll,"1. Ich habe mir ein tolles Kleid gekauft.
2. Unser Urlaub war toll.",great
"die Tomate, -n
→ A: Paradeiser",Kauf bitte noch Tomaten auf dem Markt.,the tomato
"der Topf, ¨-e (D, A)
→ CH: Pfanne","1. Dieses Jahr haben wir keine Töpfe mit Blumen auf dem Balkon.
2. Hast du keinen größeren Topf? Ich möchte Kartoffeln kochen. → (CH: Pfanne)",the pot
"das Tor, -e","1. Hinter dem Tor geht es zur Fabrik.
2. Die Mannschaft konnte vier Tore schießen.",the gate
"die Torte, -n",Zum Geburtstag backe ich dir eine Torte.,the cake
tot,Meine Großeltern sind schon lange tot.,dead
"der Tote, -n
die Tote, -n",Bei dem Unfall gab es zwei Tote.,the dead man
total,Der Film war total langweilig.,total
der Tourismus,In dieser Gegend gibt es viel Tourismus.,tourism
"der Tourist, -en
die Touristin, -nen",Es kommen immer mehr Touristen in unsere Stadt.,the tourist
"die Tradition, -en",Eine große Hochzeit mit vielen Leuten ist bei uns Tradition.,the tradition
traditionell,Ich mag die traditionelle Küche.,traditional
"tragen, trägt, trug, hat getragen","1. Lass mich den Koffer tragen. Der ist zu schwer für dich.
2. Mein Bruder trägt eine Brille.
3. Die Kosten trägt die Krankenkasse.",carry
"trainieren, trainiert, trainierte, hat trainiert",Wir trainieren einmal pro Woche im Sportverein.,train
"der Trainer, -
die Trainerin, -nen",Ich finde unseren Trainer sehr nett.,the coach
"das Training, -s","1. Jeden Dienstag ist Training.
2. Ich gehe jede Woche zum Training.",the training
"das Tram, -s
→ D, A: Straßenbahn",Fahren wir mit dem Tram oder dem Bus?,the tram
"die Träne, -n transportieren, transportiert, transportierte, hat transportiert",Sie trocknet dem Kind die Tränen. Wie willst du die Möbel denn transportieren?,the tear
"der Transport, -e",Was kostet der Transport?,the transport
"träumen, träumt, träumte, hat geträumt","1. Ich habe schlecht geträumt.
2. Ich träume von einem großen Haus mit Garten.",dream
"der Traum, ¨-e",Mein Traum ist ein eigenes Geschäft.,the dream
Traum-,Mein Traumberuf ist Feuerwehrmann.,Dream-
traurig,"1. Ich bin traurig. Ich darf nicht mitfahren.
2. Das war ein sehr trauriger Film.",sad
"treffen, trifft, traf, hat getroffen","1. Wir treffen uns immer freitags.
2. Ich habe Petra zufällig in der Stadt getroffen.",meet
"der Treffpunkt, -e",Unser Treffpunkt ist um 17 Uhr am Hauptbahnhof.,the meeting point
"treiben, treibt, trieb, hat getrieben",Welchen Sport treibst du?,to drive
"(sich) trennen, trennt, trennte, hat getrennt","1. Wir leben getrennt.
2. Meine Freundin und ihr Mann haben sich getrennt.
3. Wir müssen den Müll trennen. Das kommt zum Altpapier.",(separate
"die Trennung, -en","1. Die Trennung von der Familie war schwierig.
2. Meine Kollegin ist noch nicht geschieden, aber sie lebt in Trennung.",the separation
getrennt leben,Ich lebe getrennt von meiner Frau.,live separately
"die Treppe, -n (D, CH)
→ A: Stiege","1. Wo ist die Toilette? – Die Treppe hoch und dann links.
2. Meine Oma kann nicht gut Treppen steigen.",the stairs
"das Treppenhaus, ¨-er (D, CH)
→ A: Stiegenhaus",Im Treppenhaus ist kein Licht.,the stairwell
"treten, tritt, trat, hat/ist getreten","1. Ich bin in ein Stück Glas getreten.
2. Au! Du hast mich getreten!",step
treu,Herr Maier ist ein treuer Kunde von uns.,faithful
"trinken, trinkt, trank, hat getrunken",Trinken Sie einen Tee mit uns?,drink
"das Trinkgeld, -er",Ich habe dem Kellner zwei Euro Trinkgeld gegeben.,the tip
trocken,"1. Die Wäsche ist noch nicht trocken.
2. Hoffentlich regnet es bald. Alles ist ganz trocken.
3. Bitte einen trockenen Wein.",dry
"trocknen, trocknet, trocknete, hat/ist getrocknet","1. Ich habe mir die Haare getrocknet.
2. Die Farbe ist schnell getrocknet.",dry
die Tropfen (Pl.),"1. Hast du die Tropfen schon genommen?
2. Wegen der paar Regentropfen brauchst du doch keinen Schirm.",the drops (pl.)
"das Trottoir, -s (CH)
→ Gehsteig (D, A)",Das Velofahren auf dem Trottoir ist nicht erlaubt.,the sidewalk
trotz,Trotz Grippe bin ich zur Arbeit gegangen.,despite
trotzdem,Es war ziemlich kalt. Trotzdem bin ich schwimmen gegangen.,despite it
"das Tuch, ¨-er","1. Wo hast du dieses schöne Tuch gekauft?
2. Die Handtücher sind im Schrank ganz oben.
3. Hast du ein Taschentuch für mich?",the cloth
"tun, tut, tat, hat getan","1. Ich habe heute viel zu tun.
2. Was kann ich für Sie tun?
3. Ich habe zu viel Zucker in den Kaffee getan.
4. Es tut mir leid. Ich kann nicht kommen.
5. Der Arm tut mir weh.
6. Ich habe endlich mal ausgeschlafen. Das hat gut getan.",do
"die Tür, -en",Machen Sie bitte die Tür zu! Es zieht.,the door
"der Turm, ¨-e","Kommen Sie auf den Turm, von hier sieht man die ganze Stadt.",the tower
"die Tüte, -n",Brauchen Sie eine Tüte für den Salat?,the bag
"der Typ, -en","1. Mein Nachbar ist ein netter Typ.
2. Was für ein Typ bist du? Was machst du gerne?
3. Kennen Sie sich mit den verschiedenen Typen aus? Auch mit meinem Auto?",the guy
typisch,"1. Im Hotel gab es typisch deutsches Essen.
2. Er kommt wieder zu spät, das ist typisch.
3. Diese Musik ist typisch für dieses Land.",typical
"die U-Bahn, -en",Ich fahre mit der U-Bahn.,the subway
üben,Ich lerne gerade Gitarre spielen. Ich übe jeden Tag zwei Stunden.,practice
"die Übung, -en","1. Diese Übung war sehr schwer.
2. Ich fahre nicht oft Auto. Mir fehlt die Übung.",the exercise
über,"1. Die Müllers wohnen direkt über uns.
2. Pass bitte auf, wenn du über die Straße gehst.
3. Fahren Sie über Stuttgart oder über Würzburg?
4. Übers Wochenende fahren wir in die Berge.
5. Kinder über zehn Jahre müssen voll bezahlen.
6. Ich suche ein Buch über die deutsche Küche.",above
überall,"Ich habe überall gesucht, aber meine Brille ist weg.",everywhere
"überfahren, überfährt, überfuhr, hat überfahren",Gestern hat ein Autofahrer einen Hund überfahren.,run over
überhaupt,"1. Die Suppe schmeckt mir überhaupt nicht.
2. Tut mir leid. Ich habe überhaupt keine Zeit.
3. Du willst mit meinem Auto fahren? Hast du überhaupt einen Führerschein?",at all
"überholen, überholt, überholte, hat überholt",Hier dürfen Lkws nicht überholen.,overtake
"überlegen, überlegt, überlegte, hat überlegt","1. Ich kann mich nicht entscheiden. Ich muss mir das noch überlegen.
2. Ich habe mir überlegt, ein Auto zu kaufen.",superior
übermorgen,Morgen kann ich nicht. Wir sehen uns übermorgen.,the day after tomorrow
"übernachten, übernachtet, übernachtete, hat übernachtet",Wir haben auf dem Campingplatz übernachtet.,stay overnight
"die Übernachtung, -en",In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.,the overnight stay
"übernehmen, übernimmt, übernahm, hat übernommen.",Ich habe das Geschäft von meinem Vater übernommen.,take over
"überprüfen, überprüft, überprüfte, hat überprüft","Bitte überprüfen Sie, ob Ihr Name richtig geschrieben ist.",check
"überqueren, überquert, überquerte, hat überquert",Bitte die Straße nur an der Ampel überqueren.,cross over
"überraschen, überrascht, überraschte, hat überrascht","Ich bin ganz überrascht, dass die Wohnung so billig ist.",surprise
"die Überraschung,-en","1. Ich habe eine Überraschung für dich.
2. Das ist ja eine Überraschung. Ich dachte, du bist im Urlaub.",the surprise
"überreden, überredet, überredete, hat überredet","Zuerst wollte ich nicht, aber mein Bruder hat mich überredet, einen Englischkurs zu machen.",convince
"die Überschrift, -en","1. Der Artikel erschien unter der folgenden Überschrift: „…“
2. Die Überschrift passt überhaupt nicht zum Inhalt des Artikels.",the headline
"übersetzen, übersetzt, übersetzte, hat übersetzt",Können Sie mir bitte diesen Brief übersetzen?,translate
"der Übersetzer, -
die Übersetzerin, -nen",Meine Tochter möchte als Übersetzerin arbeiten.,the translator
"die Übersetzung, -en",Die Übersetzung des Buches ist sehr gut.,the translation
"die Überstunde, -n",Ich muss heute Überstunden machen.,the overtime
"übertreiben, übertreibt, übertrieb, hat übertrieben",Ein bisschen Sport ist gesund. Aber man sollte es nicht übertreiben.,exaggerate
"überweisen, überweist, überwies, hat überwiesen","1. Ich überweise dir das Geld.
2. Der Arzt hat mich ins Krankenhaus überwiesen.",transfer
"die Überweisung, - en","1. Sie können bar oder per Überweisung bezahlen.
2. Der Hausarzt hat mir eine Überweisung fürs Krankenhaus gegeben.",the transfer
"(sich) überzeugen, überzeugt, überzeugte, hat überzeugt die Überzeugung, -en","1. Ihr Vorschlag überzeugt mich gar nicht.
2. Ich bin fest davon überzeugt, dass meine Entscheidung richtig ist. Wie bist du zu dieser Überzeugung gekommen?",convince (oneself).
üblich,"In Deutschland ist es üblich, früh zu Abend zu essen.",usual
übrig,Ist noch etwas zu essen übrig?,left over
übrigens,"Übrigens, kennst du schon die neuen Nachbarn?",by the way
"das Ufer, -","1. Er schwimmt ans Ufer zurück.
2. Am Seeufer ist es schön spazieren zu gehen.",the shore
"die Uhr, -en","1. Wie viel Uhr ist es?
2. Es ist vier Uhr.
3. Um wie viel Uhr müssen wir gehen?
4. Meine Uhr ist stehen geblieben.",the clock
um,"1. Wir treffen uns um 8 Uhr.
2. Die Apotheke ist gleich um die Ecke.
3. Die Benzinpreise sind schon wieder um 3 % gestiegen.",around
"umarmen, umarmt, umarmte, hat umarmt",Lass dich zum Abschied umarmen.,embrace
um … zu,"Um gesund zu bleiben, musst du Sport machen und Gemüse essen.",in order to
"(sich) umdrehen, dreht um, drehte um, hat umgedreht","1. Dreh dich mal um. Da hinten liegt das Buch doch.
2. Dreh das Blatt um; die Lösung steht auf der Rückseite.",(to) turn around
"die Umfrage, -n",Wir machen eine Umfrage zum Thema Umweltschutz.,the survey
"die Umgebung, -en",In der Umgebung von Berlin kann man schöne Ausflüge machen.,the environment
"umgehen, geht um, ging um, ist umgegangen",Er kann sehr gut mit Kindern umgehen.,evade
umgekehrt,"Nein, umgekehrt: erst der Vorname, dann der Nachname.",vice versa
"die Umleitung, -en",Es gibt wegen des Unfalls eine Umleitung.,the redirection
umso,"1. Je früher wir dort sind, umso besser sind unsere Chancen auf einen guten Sitzplatz.
2. Ich kann dir nicht nur heute, sondern auch morgen helfen. – Umso besser!",all the more
umsonst,"1. Ich musste nichts bezahlen. Die Reparatur war umsonst.
2. Nichts hat geholfen, es war alles umsonst.",for free
"umsteigen, steigt um, stieg um, ist umgestiegen",In Ulm müssen Sie umsteigen.,transfer
"umtauschen, tauscht um, tauschte um, hat umgetauscht","1. Ich möchte diese Bluse umtauschen. Sie passt mir nicht.
2. Wo kann ich Geld umtauschen?",exchange
"der Umtausch, ¨-e",Ein Umtausch ist leider nicht möglich.,the exchange
die Umwelt,Alte Autos sind ein Problem für die Umwelt.,the environment
der Umweltschutz,Das Land muss mehr Geld für Umweltschutz ausgeben.,the environmental protection
"die Umweltverschmutzung, -en",Die Umweltverschmutzung nimmt weiter zu.,the environmental pollution
"umziehen, zieht um, zog um, ist umgezogen",Familie Meier ist letzten Monat umgezogen. Sie wohnen nicht mehr hier.,move
"der Umzug, ¨-e",Der Umzug ist nächste Woche.,the move
"sich umziehen, zieht sich um, zog sich um, hat sich umgezogen","Bevor wir zur Party gehen, möchte ich mich umziehen.",get changed
un-,"1. Der Verkäufer war sehr unfreundlich.
2. Dieses Geräusch ist mir unangenehm.
3. Er kam wie immer unpünktlich.",U.N-
unbedingt,Ich muss unbedingt mit dir sprechen.,absolutely
und,"1. Ich habe heute und morgen frei.
2. Ich kaufe ein und mein Mann kocht.",and
"der Unfall, ¨-e",Ich hatte letzte Woche einen Unfall.,the accident
ungefähr,"Wie weit ist es bis zum Bahnhof? – Nicht weit, ungefähr zehn Minuten zu Fuß.",approximately
ungewöhnlich,"Ich finde diese Speise ungewöhnlich, aber sie schmeckt gut.",unusual
unglaublich,Es ist unglaublich. Schon wieder so ein Unglück.,incredible
"das Unglück, -e",Bei dem Unglück gab es viele Verletzte.,the misfortune
unheimlich,"1. Ich mag dieses Haus nicht. Es sieht unheimlich aus.
2. Diese Person ist mir unheimlich.
3. Lass uns umkehren. Mir wird im Dunkeln unheimlich.
4. Die Prüfung war unheimlich schwer.",scary
"die Uniform, -en","In der Schule, die sie besucht, trägt man Uniformen.",the uniform
"die Universität, -en",Mein Sohn studiert an der Universität.,the university
unten,"1. Wir wohnen im 3. Stock, meine Eltern unten im 1. Stock.
2. Sie ist mal kurz nach unten gegangen.",below
unter,"1. Unter uns wohnt eine Familie mit drei Kindern.
2. Die CDs sind im Regal unter dem Fernseher.",under
unter-,Mein Pass ist im unteren Regal.,under-
"unterbrechen, unterbricht, unterbrach, hat unterbrochen","1. Wir unterbrechen die Sendung für eine wichtige Nachricht.
2. Bitte unterbrich mich nicht, wenn ich spreche.",interrupt
"(sich) unterhalten, unterhält, unterhielt, hat unterhalten","1. Wir haben uns über das Fußballspiel unterhalten.
2. Ich habe mich bei der Party sehr gut unterhalten.",(talk
"die Unterhaltung, -en",Wir wünschen Ihnen gute Unterhaltung.,the entertainment
"die Unterkunft, ¨-e","1. Ich komme drei Tage nach Hamburg und suche eine günstige Unterkunft.
2. Ist dieser Preis inklusive Unterkunft und Essen?",the accommodation
die Unterlagen (Pl.),Ich schicke Ihnen alle Unterlagen mit der Post zu.,the documents (pl.)
"unterlassen, unterlässt, unterließ, hat unterlassen",Das Rauchen auf den Gängen ist zu unterlassen.,refrain from
"unternehmen, unternimmt, unternahm, hat unternommen",Wollen wir heute Abend noch etwas unternehmen?,company
"der Unternehmer, -
die Unternehmerin, -nen",Sie ist erfolgreiche Unternehmerin.,the entrepreneur
"unterrichten, unterrichtet, unterrichtete, hat unterrichtet",Meine Frau unterrichtet Spanisch.,teach
der Unterricht,Der Unterricht dauert von 17 bis 19 Uhr.,the lesson
untersagt,"Es ist untersagt, hier zu rauchen.",prohibited
"unterscheiden, unterscheidet, unterschied, hat unterschieden",Ihr seid euch sehr ähnlich. Auf dem Foto kann man euch beide nicht unterscheiden.,differentiate
"der Unterschied, -e","Können Sie mir sagen, was der Unterschied ist? Welche Fahrkarte ist günstiger?",the difference
unterschiedlich,"Mein Bruder und ich sind sehr unterschiedlich. Er interessiert sich für Mathematik, ich mich für Sprachen.",different
"unterschreiben, unterschreibt, unterschrieb, hat unterschrieben",Unterschreiben Sie bitte hier unten rechts.,sign
"die Unterschrift, -en",Auf dem Schreiben fehlt die Unterschrift.,the signature
"unterstreichen, unterstreicht, unterstrich, hat unterstrichen",Wir sollen alle wichtigen Wörter unterstreichen.,underline
"unterstützen, unterstützt, unterstützte, hat unterstützt","Sie unterstützen mich, wo sie nur können.",support
"die Unterstützung, -en",Ich nehme Ihre Unterstützung gern an.,the support
"untersuchen, untersucht, untersuchte, hat untersucht",Sie sollten sich vom Arzt untersuchen lassen.,investigate
"die Untersuchung, -en",Ich habe morgen eine Untersuchung im Krankenhaus.,the investigation
unterwegs,"1. Warte auf mich. Ich bin unterwegs und komme gleich.
2. Unterwegs können wir noch etwas essen.
3. Stell dir vor, der Brief war zwei Wochen unterwegs.",on the way
"die Urkunde, -n","Wenn wir das Spiel gewinnen, bekommen wir eine Urkunde.",the certificate
"der Urlaub, -e (D, A)
→ CH: Ferien",Ich habe noch drei Tage Urlaub.,the holidays
"die Ursache, -n","1. Kennt man schon die Unfallursache?
2. Vielen Dank! – Keine Ursache!",the cause
"verursachen, verursacht, verursachte, hat verursacht",Dieser Busfahrer verursachte den Unfall.,cause
ursprünglich,Ursprünglich wollte ich in einem Restaurant arbeiten. Aber dann bin ich Busfahrerin geworden.,originally
"das Urteil, -e","1. Dein Urteil ist für mich sehr wichtig.
2. Das Urteil des Gerichts erscheint mir zu hart.",the verdict
"die Vase, -n",Hast du eine Vase für die Blumen?,the vase
"der Vater, ¨-","1. Mein Vater arbeitet in einem Restaurant.
2. Herr Müller ist Vater geworden.",the father
vegetarisch,"1. Ich mag kein Fleisch. Ich esse am liebsten vegetarisch.
2. Haben Sie auch vegetarische Gerichte?",vegetarian
"das Velo, -s (CH)
→ Fahrrad; D, A: Rad","1. Sie fährt jeden Morgen mit dem Velo zur Arbeit.
2. Am Sonntag fahren wir oft Velo.",the bike
"(sich) verabreden, verabredet, verabredete, hat verabredet",Wir haben uns mit Freunden verabredet. Wir wollen zusammen essen.,(arrange to meet
